,name,rating,genre,year,released,score,votes,director,writer,star,budget,gross,company,runtime,released_month,adjusted_budget,adjusted_gross,weekday,actor,bday,nominations,awards_won,star_age
662,Young Guns,R,Action,1988,1988-08-12,6.9,57000.0,Other,Other,Other,13000000.0,45661556.0,Other,107.0,8,29776923.0769231,104589280.04497,Friday,Emilio Estevez,1962-05-12,0.0,0.0,9589
663,A Fish Called Wanda,R,Comedy,1988,1988-07-29,7.5,135000.0,Other,Other,Other,7500000.0,62493712.0,Metro-Goldwyn-Mayer (MGM),108.0,7,17178994.0828402,143143881.15503,Friday,John Cleese,1939-10-27,0.0,0.0,17808
664,Working Girl,R,Comedy,1988,1988-12-21,6.8,54000.0,Other,Other,Other,28000000.0,102953112.0,Twentieth Century Fox,113.0,12,64134911.2426036,235817453.581065,Wednesday,Melanie Griffith,1957-08-09,1.0,0.0,11457
665,Bloodsport,R,Action,1988,1988-04-29,6.8,79000.0,Other,Other,Other,1100000.0,11806119.0,Other,92.0,4,2519585.79881657,27042299.7923077,Friday,Jean-Claude Van Damme,1960-10-18,0.0,0.0,10055
666,The Last Temptation of Christ,R,Drama,1988,1988-08-12,7.5,54000.0,Martin Scorsese,Other,Other,7000000.0,8865702.0,Universal Pictures,164.0,8,16033727.8106509,20307178.9597633,Friday,Willem Dafoe,1955-07-22,4.0,0.0,12075
667,Married to the Mob,R,Comedy,1988,1988-08-19,6.2,16000.0,Other,Other,Other,10000000.0,21486757.0,Other,104.0,8,22905325.443787,49216116.1816568,Friday,Michelle Pfeiffer,1958-04-29,3.0,0.0,11070
668,The Land Before Time,G,Animation,1988,1988-11-18,7.4,82000.0,Other,Other,Other,12500000.0,84460846.0,Other,69.0,11,28631656.8047337,193460316.488757,Friday,Pat Hingle,1924-07-19,0.0,0.0,23498
669,Rambo III,R,Action,1988,1988-05-25,5.8,125000.0,Other,Other,Sylvester Stallone,63000000.0,189015611.0,Other,102.0,5,144303550.295858,432946408.391124,Wednesday,Sylvester Stallone,1946-07-06,2.0,0.0,15299
670,The Accused,R,Crime,1988,1988-10-14,7.2,33000.0,Other,Other,Other,13000000.0,32078318.0,Paramount Pictures,111.0,10,29776923.0769231,73476431.347929,Friday,Kelly McGillis,1957-07-09,0.0,0.0,11420
671,Dangerous Liaisons,R,Drama,1988,1989-02-24,7.6,66000.0,Other,Other,Other,14000000.0,34670720.0,Other,119.0,2,32067455.6213018,79414412.4970414,Friday,Glenn Close,1947-03-19,8.0,0.0,15318
672,Earth Girls Are Easy,PG,Comedy,1988,1989-05-12,5.4,21000.0,Other,Other,Other,10000000.0,3916303.0,Other,100.0,5,22905325.443787,8970419.47514793,Friday,Geena Davis,1956-01-21,2.0,1.0,12165
673,Hairspray,PG,Comedy,1988,1988-02-26,7.0,20000.0,Other,Other,Other,2000000.0,6673032.0,New Line Cinema,92.0,2,4581065.0887574,15284796.9656805,Friday,Sonny Bono,1935-02-16,0.0,0.0,19368
674,Hairspray,PG,Comedy,1988,1988-02-26,7.0,20000.0,Other,Other,Other,2000000.0,6673032.0,New Line Cinema,92.0,2,4581065.0887574,15284796.9656805,Friday,Sonny Bono,1935-02-16,0.0,0.0,19368
675,Dead Ringers,R,Drama,1988,1988-09-23,7.3,43000.0,Other,Other,Other,13000000.0,8038508.0,Other,116.0,9,29776923.0769231,18412464.1822485,Friday,Jeremy Irons,1948-09-19,1.0,1.0,14614
676,Bull Durham,R,Comedy,1988,1988-06-15,7.1,49000.0,Other,Other,Kevin Costner,7000000.0,50888729.0,Other,108.0,6,16033727.8106509,116562289.916568,Wednesday,Kevin Costner,1955-01-18,1.0,0.0,12202
677,The Unbearable Lightness of Being,R,Drama,1988,1988-02-05,7.3,35000.0,Other,Other,Other,17000000.0,10006806.0,Other,171.0,2,38939053.2544379,22920914.808284,Friday,Daniel Day-Lewis,1957-04-29,6.0,3.0,11239
678,The Blob,R,Horror,1988,1988-08-05,6.5,34000.0,Other,Other,Other,19000000.0,8247943.0,Other,95.0,8,43520118.3431953,18892181.8656805,Friday,Shawnee Smith,1969-07-03,0.0,0.0,6973
679,Oliver & Company,G,Animation,1988,1988-11-18,6.7,45000.0,Other,Other,Other,31000000.0,74151346.0,Other,74.0,11,71006508.8757396,169846071.222485,Friday,Joey Lawrence,1976-04-20,0.0,0.0,4595
680,Beaches,PG-13,Comedy,1988,1989-01-13,6.9,24000.0,Garry Marshall,Other,Other,20000000.0,57041866.0,Other,123.0,1,45810650.887574,130656250.465089,Friday,Bette Midler,1945-12-01,2.0,0.0,15749
681,Red Heat,R,Action,1988,1988-06-17,6.1,67000.0,Walter Hill,Other,Arnold Schwarzenegger,29000000.0,34994648.0,Other,104.0,6,66425443.7869823,80156380.1230769,Friday,Arnold Schwarzenegger,1947-07-30,0.0,0.0,14933
682,A Nightmare on Elm Street 4: The Dream Master,R,Horror,1988,1988-08-19,5.7,51000.0,Renny Harlin,Wes Craven,Other,13000000.0,49369899.0,New Line Cinema,93.0,8,29776923.0769231,113083360.372189,Friday,Robert Englund,1947-06-06,0.0,0.0,15050
683,The Adventures of Baron Munchausen,PG,Adventure,1988,1989-03-10,7.2,52000.0,Other,Other,Other,46630000.0,8083123.0,Other,126.0,3,106807532.544379,18514656.291716,Friday,John Neville,1925-05-02,0.0,0.0,23323
684,Halloween 4: The Return of Michael Myers,R,Horror,1988,1988-10-21,5.9,45000.0,Other,Other,Other,5000000.0,17768757.0,Other,88.0,10,11452662.7218935,40699916.1816568,Friday,Donald Pleasence,1919-10-05,0.0,0.0,25219
685,Elvira: Mistress of the Dark,PG-13,Comedy,1988,1988-09-30,6.6,14000.0,Other,Other,Other,7500000.0,5596267.0,Other,96.0,9,17178994.0828402,12818431.6905325,Friday,Cassandra Peterson,1951-09-17,0.0,0.0,13528
686,Mac and Me,PG,Adventure,1988,1988-08-12,3.4,12000.0,Other,Other,Other,13000000.0,6424112.0,Other,99.0,8,29776923.0769231,14714637.6047337,Friday,Christine Ebersole,1953-02-21,0.0,0.0,12956
687,Above the Law,R,Action,1988,1988-04-22,6.0,30000.0,Other,Other,Other,7500000.0,18869631.0,Warner Bros.,99.0,4,17178994.0828402,43221503.9059172,Friday,Steven Seagal,1952-04-10,0.0,0.0,13161
688,Scrooged,PG-13,Comedy,1988,1988-11-23,7.0,90000.0,Other,Other,Other,32000000.0,60329001.0,Paramount Pictures,101.0,11,73297041.4201183,138185540.160355,Wednesday,Bill Murray,1950-09-21,1.0,0.0,13943
689,The Dead Pool,R,Action,1988,1988-07-13,6.3,42000.0,Other,Other,Clint Eastwood,31000000.0,37903295.0,Warner Bros.,91.0,7,71006508.8757396,86818730.7366864,Wednesday,Clint Eastwood,1930-05-31,2.0,0.0,21228
690,I'm Gonna Git You Sucka,R,Action,1988,1989-01-11,6.6,13000.0,Other,Other,Other,3000000.0,13030057.0,Other,88.0,1,6871597.6331361,29845769.6136095,Wednesday,Keenen Ivory Wayans,1958-06-08,0.0,0.0,11175
691,Pumpkinhead,R,Other,1988,1989-01-13,6.2,21000.0,Other,Other,Other,3500000.0,4385516.0,Other,86.0,1,8016863.90532545,10045167.1218935,Friday,Lance Henriksen,1940-05-05,0.0,0.0,17785
692,Friday the 13th Part VII: the New Blood,R,Horror,1988,1988-05-13,5.3,34000.0,Other,Other,Other,2800000.0,19170001.0,Paramount Pictures,88.0,5,6413491.12426036,43909511.1662722,Friday,Terry Kiser,1939-08-01,0.0,0.0,17818
693,License to Drive,PG-13,Comedy,1988,1988-07-06,6.3,19000.0,Other,Other,Other,8000000.0,22433275.0,Twentieth Century Fox,88.0,7,18324260.3550296,51384146.4644971,Wednesday,Corey Haim,1971-12-23,0.0,0.0,6040
694,Hellbound: Hellraiser II,R,Horror,1988,1988-12-23,6.5,44000.0,Other,Other,Other,3000000.0,12090735.0,Other,97.0,12,6871597.6331361,27694222.0029586,Friday,Doug Bradley,1954-09-07,0.0,0.0,12526
695,Frantic,R,Crime,1988,1988-02-26,6.9,51000.0,Other,Other,Harrison Ford,20000000.0,17637950.0,Warner Bros.,120.0,2,45810650.887574,40400298.4911243,Friday,Harrison Ford,1942-07-13,1.0,0.0,16664
696,Colors,R,Action,1988,1988-04-29,6.7,25000.0,Other,Other,Other,6000000.0,46616067.0,Other,120.0,4,13743195.2662722,106775618.554438,Friday,Sean Penn,1960-08-17,5.0,2.0,10117
697,My Stepmother Is an Alien,PG-13,Comedy,1988,1988-12-09,5.4,25000.0,Other,Other,Other,20000000.0,13854000.0,Other,105.0,12,45810650.887574,31733037.8698225,Friday,Dan Aykroyd,1952-07-01,1.0,0.0,13310
698,A Cry in the Dark,PG-13,Biography,1988,1988-11-11,6.9,9600.0,Other,Other,Meryl Streep,15000000.0,6908797.0,Other,120.0,11,34357988.1656805,15824824.3710059,Friday,Meryl Streep,1949-06-22,21.0,3.0,14387
699,The Lair of the White Worm,R,Comedy,1988,1988-10-21,5.9,10000.0,Other,Other,Other,2500000.0,1189315.0,Other,93.0,10,5726331.36094675,2724164.71301775,Friday,Amanda Donohoe,1962-06-29,0.0,0.0,9611
700,High Spirits,PG-13,Comedy,1988,1988-11-18,5.8,8900.0,Other,Other,Other,17000000.0,8578231.0,Other,99.0,11,38939053.2544379,19648717.2786982,Friday,Peter O'Toole,1932-08-02,8.0,0.0,20562
701,Vampire's Kiss,R,Comedy,1988,1989-06-16,6.0,15000.0,Other,Other,Nicolas Cage,2000000.0,725131.0,Other,103.0,6,4581065.0887574,1660936.15443787,Friday,Nicolas Cage,1964-01-07,2.0,1.0,9292
702,Return of the Living Dead II,R,Comedy,1988,1988-01-15,5.8,19000.0,Other,Other,Other,6200000.0,9205924.0,Other,89.0,1,14201301.7751479,21086468.5230769,Friday,James Karen,1923-11-28,0.0,0.0,23424
703,The New Adventures of Pippi Longstocking,G,Adventure,1988,1988-07-29,5.9,4000.0,Other,Other,Other,5000000.0,3569939.0,Columbia Pictures,100.0,7,11452662.7218935,8177061.46094675,Friday,Tami Erin,1974-07-08,0.0,0.0,5135
704,Eight Men Out,PG,Drama,1988,1989-06-29,7.2,19000.0,Other,Other,John Cusack,6000000.0,5680515.0,Other,119.0,6,13743195.2662722,13011404.4763314,Thursday,John Cusack,1966-06-28,0.0,0.0,8402
705,Maniac Cop,R,Action,1988,1988-05-13,6.0,15000.0,Other,Other,Other,1100000.0,671382.0,Other,85.0,5,2519585.79881657,1537822.32071006,Friday,Tom Atkins,1935-11-13,0.0,0.0,19175
706,Women on the Verge of a Nervous Breakdown,R,Comedy,1988,1988-11-11,7.6,37000.0,Other,Other,Other,700000.0,7263129.0,Other,88.0,11,1603372.78106509,16636433.3485207,Friday,Carmen Maura,1945-09-15,0.0,0.0,15763
707,She's Having a Baby,PG-13,Comedy,1988,1988-02-05,5.9,12000.0,Other,John Hughes,Other,20000000.0,16031707.0,Paramount Pictures,106.0,2,45810650.887574,36721146.6254438,Friday,Kevin Bacon,1958-07-08,0.0,0.0,10804
708,Tequila Sunrise,R,Crime,1988,1988-12-02,6.1,30000.0,Other,Other,Mel Gibson,23000000.0,41292551.0,Other,115.0,12,52682248.5207101,94581931.9059172,Friday,Mel Gibson,1956-01-03,0.0,0.0,12022
709,Night of the Demons,R,Comedy,1988,1988-10-14,6.2,14000.0,Other,Other,Other,1200000.0,3109904.0,Other,90.0,10,2748639.05325444,7123336.32189349,Friday,Cathy Podewell,1964-01-27,0.0,0.0,9027
710,Biloxi Blues,PG-13,Comedy,1988,1988-03-25,6.6,15000.0,Other,Other,Other,20000000.0,51684798.0,Other,106.0,3,45810650.887574,118385711.868639,Friday,Matthew Broderick,1962-03-21,0.0,0.0,9501
711,Shag,PG,Comedy,1988,1989-07-21,6.4,4000.0,Other,Other,Other,5000000.0,6957975.0,Other,98.0,7,11452662.7218935,15937468.1804734,Friday,Phoebe Cates,1963-07-16,0.0,0.0,9502
712,Cocoon: the Return,PG,Adventure,1988,1988-11-23,5.4,16000.0,Other,Other,Other,17500000.0,25024919.0,Other,116.0,11,40084319.5266272,57320391.3899408,Wednesday,Don Ameche,1908-05-31,1.0,1.0,29396
713,Poltergeist III,PG,Horror,1988,1988-06-10,4.7,17000.0,Other,Other,Other,10500000.0,14114488.0,Metro-Goldwyn-Mayer (MGM),98.0,6,24050591.7159763,32329694.1112426,Friday,Heather O'Rourke,1975-12-27,0.0,0.0,4549
714,Waxwork,R,Comedy,1988,1988-06-17,6.2,12000.0,Other,Other,Other,3000000.0,808114.0,Other,95.0,6,6871597.6331361,1851011.41656805,Friday,Zach Galligan,1964-02-14,0.0,0.0,8890
715,Funny Farm,PG,Comedy,1988,1988-06-03,6.2,20000.0,Other,Other,Other,19000000.0,25537221.0,Other,101.0,6,43520118.3431953,58493835.7934911,Friday,Chevy Chase,1943-10-08,0.0,0.0,16310
716,Fright Night Part 2,R,Comedy,1988,1989-05-19,5.9,12000.0,Other,Other,Other,7500000.0,2983784.0,Other,104.0,5,17178994.0828402,6834454.35739645,Friday,William Ragsdale,1961-01-19,0.0,0.0,10347
717,Caddyshack II,PG,Comedy,1988,1988-07-22,3.8,15000.0,Other,Other,Other,20000000.0,11798302.0,Other,98.0,7,45810650.887574,27024394.6994083,Friday,Jackie Mason,1928-06-09,0.0,0.0,21958
718,School Daze,R,Comedy,1988,1988-02-12,6.0,6700.0,Spike Lee,Other,Other,6500000.0,14545844.0,Columbia Pictures,121.0,2,14888461.5384615,33317729.0674556,Friday,Laurence Fishburne,1961-07-30,1.0,0.0,9693
719,Johnny Be Good,R,Comedy,1988,1988-03-25,4.6,6300.0,Other,Other,Other,22000000.0,17550399.0,Other,91.0,3,50391715.9763314,40199760.0763314,Friday,Anthony Michael Hall,1968-04-14,0.0,0.0,7285
720,Short Circuit 2,PG,Comedy,1988,1988-07-06,5.7,24000.0,Other,Other,Other,15000000.0,21630088.0,Other,110.0,7,34357988.1656805,49544420.5017752,Wednesday,Fisher Stevens,1963-11-27,0.0,0.0,8988
721,The Serpent and the Rainbow,R,Other,1988,1988-02-05,6.5,23000.0,Wes Craven,Other,Other,7000000.0,19595031.0,Universal Pictures,98.0,2,16033727.8106509,44883056.2136095,Friday,Bill Pullman,1953-12-17,0.0,0.0,12468
722,Monkey Shines,R,Drama,1988,1988-07-29,6.2,11000.0,Other,Other,Other,7000000.0,5344577.0,Other,113.0,7,16033727.8106509,12241927.5544379,Friday,Jason Beghe,1960-03-12,0.0,0.0,10366
723,Masquerade,R,Drama,1988,1988-03-11,6.1,3500.0,Other,Other,Other,12000000.0,15855828.0,Metro-Goldwyn-Mayer (MGM),91.0,3,27486390.5325444,36318290.052071,Friday,Rob Lowe,1964-03-17,0.0,0.0,8760
724,Tucker: The Man and His Dream,PG,Biography,1988,1988-08-12,6.9,17000.0,Other,Other,Jeff Bridges,23000000.0,19652638.0,Other,110.0,8,52682248.5207101,45015006.9218935,Friday,Jeff Bridges,1949-12-04,7.0,1.0,14131
725,Action Jackson,R,Action,1988,1988-02-12,5.4,10000.0,Other,Other,Other,7000000.0,20256975.0,Other,96.0,2,16033727.8106509,46399260.4881657,Friday,Carl Weathers,1948-01-14,0.0,0.0,14639
726,"Bright Lights, Big City",R,Drama,1988,1988-04-01,5.7,7600.0,Other,Other,Other,25000000.0,16118077.0,Other,107.0,4,57263313.6094675,36918979.9213018,Friday,Michael J. Fox,1961-06-09,0.0,0.0,9793
727,Shoot to Kill,R,Action,1988,1988-02-12,6.8,12000.0,Other,Other,Other,15000000.0,29300090.0,Touchstone Pictures,110.0,2,34357988.1656805,67112809.6982249,Friday,Sidney Poitier,1927-02-20,2.0,1.0,22272
728,The Beast of War,R,Adventure,1988,1988-09-07,7.3,9100.0,Other,Other,Other,8000000.0,161004.0,Other,111.0,9,18324260.3550296,368784.901775148,Wednesday,George Dzundza,1945-07-19,0.0,0.0,15756
729,Lady in White,PG-13,Other,1988,1988-04-22,6.7,6400.0,Other,Other,Other,4700000.0,1705139.0,Other,113.0,4,10765502.9585799,3905676.37218935,Friday,Lukas Haas,1976-04-16,0.0,0.0,4389
730,Gorillas in the Mist,PG-13,Biography,1988,1988-10-07,7.0,25000.0,Other,Other,Other,22000000.0,61149479.0,Universal Pictures,129.0,10,50391715.9763314,140064871.721302,Friday,Sigourney Weaver,1949-10-08,3.0,0.0,14244
731,Alien Nation,R,Action,1988,1988-10-07,6.3,15000.0,Other,Other,Other,16000000.0,32155047.0,Other,91.0,10,36648520.7100592,73652181.6195266,Friday,James Caan,1940-03-26,1.0,0.0,17727
732,Betrayed,R,Crime,1988,1988-08-26,6.3,5800.0,Other,Other,Other,19000000.0,25816139.0,Other,127.0,8,43520118.3431953,59132706.5497041,Friday,Debra Winger,1955-05-16,3.0,0.0,12156
733,Miracle Mile,R,Action,1988,1989-05-19,7.0,9800.0,Other,Other,Other,3700000.0,1145404.0,Other,87.0,5,8474970.41420119,2623585.13846154,Friday,Anthony Edwards,1962-07-19,0.0,0.0,9801
734,Appointment with Death,PG,Crime,1988,1988-04-27,6.2,4200.0,Other,Other,Other,6000000.0,960040.0,Other,102.0,4,13743195.2662722,2199002.86390533,Wednesday,Peter Ustinov,1921-04-16,3.0,2.0,24483
735,Critters 2,PG-13,Comedy,1988,1988-04-29,5.5,14000.0,Other,Other,Other,4500000.0,3813293.0,New Line Cinema,86.0,4,10307396.4497041,8734471.71775148,Friday,Scott Grimes,1971-07-09,0.0,0.0,6139
736,Dead Heat,R,Action,1988,1988-05-06,6.0,7200.0,Other,Other,Other,5000000.0,3588626.0,Other,86.0,5,11452662.7218935,8219864.64260355,Friday,Treat Williams,1951-12-01,0.0,0.0,13306
737,Talk Radio,R,Drama,1988,1989-01-13,7.3,13000.0,Oliver Stone,Other,Other,4000000.0,3468572.0,Other,110.0,1,9162130.17751479,7944877.04852071,Friday,Eric Bogosian,1953-04-24,0.0,0.0,13048
738,The Milagro Beanfield War,R,Comedy,1988,1988-03-18,6.9,6000.0,Other,Other,Other,22000000.0,13825794.0,Other,117.0,3,50391715.9763314,31668431.1088757,Friday,Rubén Blades,1948-07-16,0.0,0.0,14490
739,Fresh Horses,PG-13,Drama,1988,1988-11-18,5.1,1700.0,Other,Other,Other,14000000.0,6640346.0,Other,105.0,11,32067455.6213018,15209928.6189349,Friday,Molly Ringwald,1968-02-18,0.0,0.0,7579
740,Bird,R,Biography,1988,1988-09-30,7.2,12000.0,Clint Eastwood,Other,Other,9000000.0,2181286.0,Other,161.0,9,20614792.8994083,4996306.57159763,Friday,Forest Whitaker,1961-07-15,1.0,1.0,9939
741,Punchline,R,Comedy,1988,1988-10-07,5.9,8200.0,Other,Other,Other,15000000.0,21042667.0,Columbia Pictures,128.0,10,34357988.1656805,48198913.5840237,Friday,Sally Field,1946-11-06,3.0,2.0,15311
742,Little Nikita,PG,Drama,1988,1988-03-18,6.0,5100.0,Other,Other,Other,15000000.0,1733070.0,Columbia Pictures,98.0,3,34357988.1656805,3969653.23668639,Friday,Sidney Poitier,1927-02-20,2.0,1.0,22307
743,Vibes,PG,Adventure,1988,1988-08-05,5.7,3900.0,Other,Other,Other,18000000.0,1883811.0,Other,99.0,8,41229585.7988166,4314930.40295858,Friday,Cyndi Lauper,1953-06-22,0.0,0.0,12828
744,Red Scorpion,R,Action,1988,1989-04-21,5.2,8400.0,Other,Other,Other,16000000.0,4192440.0,Other,105.0,4,36648520.7100592,9602920.26035503,Friday,Dolph Lundgren,1957-11-03,0.0,0.0,11492
745,Rocket Gibraltar,PG,Drama,1988,1988-09-02,6.6,1800.0,Other,Other,Other,3000000.0,187349.0,Columbia Pictures,99.0,9,6871597.6331361,429128.981656805,Friday,Burt Lancaster,1913-11-02,4.0,1.0,27333
746,1969,R,Drama,1988,1988-11-18,5.8,3600.0,Other,Other,Robert Downey Jr.,7000000.0,5979011.0,Other,95.0,11,16033727.8106509,13695119.2786982,Friday,Robert Downey Jr.,1965-04-04,2.0,0.0,8629
747,Memories of Me,PG-13,Comedy,1988,1988-10-07,5.7,994.0,Other,Other,Other,12000000.0,3965604.0,Metro-Goldwyn-Mayer (MGM),105.0,10,27486390.5325444,9083345.02011834,Friday,Billy Crystal,1948-03-14,0.0,0.0,14817
748,The Couch Trip,R,Comedy,1988,1988-01-15,5.8,4800.0,Other,Other,Other,19000000.0,11005304.0,Other,97.0,1,43520118.3431953,25208006.9727811,Friday,Dan Aykroyd,1952-07-01,1.0,0.0,12981
749,Another Woman,PG,Drama,1988,1988-11-18,7.3,13000.0,Woody Allen,Woody Allen,Other,10000000.0,1562749.0,Other,81.0,11,22905325.443787,3579527.44319527,Friday,Gena Rowlands,1930-06-19,2.0,0.0,21337
750,Sunset,R,Crime,1988,1988-04-29,5.7,3900.0,Other,Other,Bruce Willis,16000000.0,4594452.0,Other,102.0,4,36648520.7100592,10523741.8295858,Friday,Bruce Willis,1955-03-19,0.0,0.0,12095
751,Cop,R,Crime,1988,1988-03-11,6.4,4800.0,Other,Other,Other,3000000.0,1984315.0,Other,110.0,3,6871597.6331361,4545138.08579882,Friday,James Woods,1947-04-18,2.0,0.0,14938
752,Pulse,PG-13,Horror,1988,1988-03-04,5.4,2300.0,Other,Other,Other,6000000.0,40397.0,Other,91.0,3,13743195.2662722,92530.6431952663,Friday,Cliff De Young,1945-02-12,0.0,0.0,15726
753,Pulse,PG-13,Horror,1988,1988-03-04,5.4,2300.0,Other,Other,Other,6000000.0,40397.0,Other,91.0,3,13743195.2662722,92530.6431952663,Friday,Cliff De Young,1945-02-12,0.0,0.0,15726
754,Stormy Monday,R,Crime,1988,1988-05-01,6.2,3800.0,Other,Other,Other,4000000.0,1791328.0,Other,93.0,5,9162130.17751479,4103095.08165681,Sunday,Melanie Griffith,1957-08-09,1.0,0.0,11223
755,Switching Channels,PG,Comedy,1988,1988-03-04,5.9,3500.0,Other,Other,Other,18000000.0,9129999.0,Other,105.0,3,41229585.7988166,20912559.839645,Friday,Kathleen Turner,1954-06-19,1.0,0.0,12312
756,Crossing Delancey,PG,Comedy,1988,1988-09-16,6.9,3900.0,Other,Other,Other,4000000.0,16262415.0,Warner Bros.,97.0,9,9162130.17751479,37249590.8076923,Friday,Amy Irving,1953-09-10,1.0,0.0,12790
757,Shakedown,R,Action,1988,1988-05-06,6.0,3000.0,Other,Other,Other,6000000.0,10068039.0,Other,97.0,5,13743195.2662722,23061170.987574,Friday,Peter Weller,1947-06-24,0.0,0.0,14927
758,Everybody's All-American,R,Drama,1988,1988-11-04,6.2,3000.0,Other,Other,Other,22000000.0,12638294.0,Other,127.0,11,50391715.9763314,28948423.712426,Friday,Jessica Lange,1949-04-20,6.0,2.0,14443
759,Heartbreak Hotel,PG-13,Comedy,1988,1988-09-30,5.7,1200.0,Other,Other,Other,13000000.0,5509417.0,Other,97.0,9,29776923.0769231,12619498.9390533,Friday,David Keith,1954-05-08,0.0,0.0,12564
760,The Kiss,R,Drama,1988,1988-10-14,5.4,1500.0,Other,Other,Other,6000000.0,1869148.0,Other,101.0,10,13743195.2662722,4281344.32426036,Friday,Joanna Pacula,1957-12-30,0.0,0.0,11246
761,Spellbinder,R,Drama,1988,1988-09-23,5.8,2200.0,Other,Other,Other,6000000.0,657446.0,Metro-Goldwyn-Mayer (MGM),99.0,9,13743195.2662722,1505901.4591716,Friday,Tim Daly,1956-03-01,0.0,0.0,11894
762,Illegally Yours,PG,Comedy,1988,1988-05-13,4.2,949.0,Other,Other,Other,13000000.0,259019.0,Other,102.0,5,29776923.0769231,593291.449112426,Friday,Rob Lowe,1964-03-17,0.0,0.0,8823
763,Track 29,R,Drama,1988,1988-07-12,5.9,2000.0,Other,Other,Other,5000000.0,429028.0,Other,90.0,7,11452662.7218935,982702.596449704,Tuesday,Theresa Russell,1957-03-20,0.0,0.0,11437
764,Ernest Saves Christmas,PG,Comedy,1988,1988-11-11,5.6,10000.0,Other,Other,Other,6000000.0,28202109.0,Touchstone Pictures,95.0,11,13743195.2662722,64597848.4846154,Friday,Jim Varney,1949-06-15,0.0,0.0,14394
765,Moon Over Parador,PG-13,Comedy,1988,1988-09-09,6.0,5500.0,Other,Other,Other,20000000.0,11444204.0,Universal Pictures,103.0,9,45810650.887574,26213321.7065089,Friday,Richard Dreyfuss,1947-10-29,2.0,1.0,14926
766,Off Limits,R,Action,1988,1988-03-11,6.2,2700.0,Other,Other,Other,12000000.0,7242035.0,Twentieth Century Fox,102.0,3,27486390.5325444,16588116.8550296,Friday,Willem Dafoe,1955-07-22,4.0,0.0,11921
767,Tapeheads,R,Comedy,1988,1988-10-21,5.7,3900.0,Other,Other,John Cusack,3000000.0,343786.0,Other,93.0,10,6871597.6331361,787453.021301775,Friday,John Cusack,1966-06-28,0.0,0.0,8151
768,Apartment Zero,R,Drama,1988,1989-09-15,7.0,3700.0,Other,Other,Other,4000000.0,1267578.0,Other,124.0,9,9162130.17751479,2903428.66153846,Friday,Hart Bochner,1956-10-03,0.0,0.0,12035
769,The Good Mother,R,Drama,1988,1988-11-04,5.7,1500.0,Other,Other,Other,14000000.0,4764606.0,Touchstone Pictures,103.0,11,32067455.6213018,10913485.104142,Friday,Diane Keaton,1946-01-05,4.0,1.0,15644
770,Indiana Jones and the Last Crusade,PG-13,Action,1989,1989-05-24,8.2,707000.0,Steven Spielberg,Other,Harrison Ford,48000000.0,474171806.0,Paramount Pictures,127.0,5,104891612.903226,1036180115.09532,Wednesday,Harrison Ford,1942-07-13,1.0,0.0,17117
771,Road House,R,Action,1989,1989-05-19,6.6,66000.0,Other,Other,Other,17000000.0,30050028.0,Other,114.0,5,37149112.9032258,65666581.3480645,Friday,Patrick Swayze,1952-08-18,0.0,0.0,13423
772,Batman,PG-13,Action,1989,1989-06-23,7.5,346000.0,Tim Burton,Other,Other,35000000.0,411508343.0,Warner Bros.,126.0,6,76483467.7419355,899245287.925081,Friday,Michael Keaton,1951-09-05,1.0,0.0,13806
773,Bill & Ted's Excellent Adventure,PG,Adventure,1989,1989-02-17,7.0,123000.0,Other,Other,Keanu Reeves,10000000.0,40508994.0,Other,90.0,2,21852419.3548387,88521952.4530645,Friday,Keanu Reeves,1964-09-02,0.0,0.0,8934
774,Dead Poets Society,PG,Comedy,1989,1989-06-09,8.1,442000.0,Other,Other,Robin Williams,16400000.0,235860116.0,Touchstone Pictures,128.0,6,35837967.7419355,515411416.39129,Friday,Robin Williams,1951-07-21,4.0,1.0,13838
775,The Little Mermaid,G,Animation,1989,1989-11-17,7.6,244000.0,Other,Other,Other,40000000.0,211343479.0,Walt Disney Pictures,83.0,11,87409677.4193549,461836633.101855,Friday,Jodi Benson,1961-10-10,0.0,0.0,10265
776,The Abyss,PG-13,Adventure,1989,1989-08-09,7.5,167000.0,Other,Other,Other,70000000.0,90000098.0,Twentieth Century Fox,140.0,8,152966935.483871,196671988.347258,Wednesday,Ed Harris,1950-11-28,4.0,0.0,14134
777,Back to the Future Part II,PG,Adventure,1989,1989-11-22,7.8,494000.0,Robert Zemeckis,Other,Other,40000000.0,332500002.0,Universal Pictures,108.0,11,87409677.4193549,726592947.918871,Wednesday,Michael J. Fox,1961-06-09,0.0,0.0,10393
778,Do the Right Thing,R,Comedy,1989,1989-07-21,8.0,94000.0,Spike Lee,Other,Other,6500000.0,37295445.0,Other,120.0,7,14204072.5806452,81499570.4165323,Friday,Danny Aiello,1933-06-20,1.0,0.0,20485
779,"Honey, I Shrunk the Kids",PG,Adventure,1989,1989-06-23,6.4,146000.0,Other,Other,Other,18000000.0,222724172.0,Walt Disney Pictures,93.0,6,39334354.8387097,486706200.700323,Friday,Rick Moranis,1953-04-18,0.0,0.0,13215
780,Turner & Hooch,PG,Comedy,1989,1989-07-28,6.2,66000.0,Other,Other,Tom Hanks,13000000.0,71079915.0,Touchstone Pictures,97.0,7,28408145.1612903,155326811.028629,Friday,Tom Hanks,1956-07-09,6.0,2.0,12072
